x_value,y_value,category
1.5,4,cat
3.3,3.9,cat
3.9,6.2,cat
4.7,10.8,cat
4.2,10.2,cat
4.3,11.7,cat
8.7,18.1,cat
8,18.9,cat
9.1,18.7,cat
9.1,19.3,cat
9.5,21.9,cat
10,20.1,cat
9.9,13.7,cat
9.7,21.3,cat
9.9,20.1,cat
9.6,14.6,cat
11,20.9,cat
10.8,20.5,cat
10.9,23.1,cat
10.2,23.2,cat
11.7,20.9,cat
11.1,20.5,cat
11.4,23.5,cat
11.1,23.2,cat
12.3,25.2,cat
12.5,25.3,cat
12.7,25.8,cat
13,25.7,cat
13.5,29.6,cat
13.5,29.7,cat
14,31.9,cat
15.1,27.9,cat
15.2,30.8,cat
15.1,30.4,cat
15.7,31.8,cat
16.6,31.7,cat
16.6,35.7,cat
16,33.2,cat
16.5,34.6,cat
17.4,34.4,cat
17.5,36,cat
17.4,35.1,cat
18.6,37.1,cat
17.8,33.2,cat
18.1,39,cat
19.8,40.4,cat
19.8,41.7,cat
20.1,43.2,cat
21,39.4,cat
22.1,42.4,cat
